-1002897846,-1983617801,0.75,0.144,0.58,0.176
-1002880880,-1983600834,0.749,0.13,0.581,0.177
-1002864553,-1983584507,0.75,0.149,0.577,0.182
-1002847933,-1983567886,0.754,0.145,0.58,0.178
-1002830962,-1983550914,0.758,0.142,0.578,0.175
-1002814687,-1983534638,0.757,0.15,0.582,0.18
-1002798020,-1983517970,0.757,0.136,0.579,0.168
-1002781044,-1983500994,0.755,0.142,0.584,0.168
-1002764723,-1983484672,0.757,0.125,0.586,0.18
-1002748107,-1983468055,0.827,0.039,0.647,0.213
-1002731127,-1983451074,0.896,-0.012,0.717,0.22
-1002714856,-1983434802,0.903,-0.021,0.719,0.195
-1002698194,-1983418139,0.901,-0.034,0.713,0.247
-1002681209,-1983401154,0.903,-0.035,0.702,0.232
-1002664989,-1983384933,0.903,-0.03,0.7,0.209
-1002648281,-1983368224,0.899,-0.025,0.697,0.197
-1002631292,-1983351234,0.901,-0.023,0.697,0.201
-1002615123,-1983335064,0.912,-0.013,0.709,0.229
-1002598369,-1983318309,NaN,NaN,NaN,NaN
-1002581374,-1983301314,NaN,NaN,NaN,NaN
-1002565159,-1983285098,NaN,NaN,NaN,NaN
-1002548358,-1983268296,NaN,NaN,NaN,NaN
-1002531453,-1983251390,NaN,NaN,NaN,NaN
-1002515196,-1983235132,NaN,NaN,NaN,NaN
-1002498350,-1983218285,0.921,0.382,0.8,0.359
-1002481530,-1983201465,NaN,NaN,NaN,NaN
-1002465232,-1983185166,1.086,0.269,0.722,0.246
-1002448340,-1983168273,NaN,NaN,NaN,NaN
-1002431489,-1983151421,0.916,0.172,0.756,0.195
-1002415269,-1983135200,0.888,0.118,0.734,0.244
-1002398330,-1983118261,0.869,-0.003,NaN,NaN
-1002381571,-1983101501,0.883,-0.026,0.696,0.176
-1002365401,-1983085330,0.885,0.001,0.668,0.153
-1002348514,-1983068442,0.892,-0.018,0.66,0.137
-1002331773,-1983051700,0.888,-0.029,0.669,0.143
-1002315535,-1983035461,0.885,-0.034,0.683,0.106
-1002298697,-1983018623,0.883,-0.049,0.676,0.132
-1002281856,-1983001781,0.889,-0.039,0.67,0.13
-1002265667,-1982985591,0.892,-0.042,0.679,0.146
-1002248881,-1982968804,0.888,-0.045,0.678,0.154
-1002231934,-1982951856,0.888,-0.044,0.675,0.15
-1002215704,-1982935625,0.887,-0.05,0.683,0.145
-1002198968,-1982918889,0.881,-0.056,0.656,0.126
-1002182016,-1982901936,0.882,-0.053,0.655,0.116
-1002165837,-1982885756,0.884,-0.049,0.653,0.135
-1002149055,-1982868973,0.888,-0.054,0.652,0.137
-1002132099,-1982852016,0.891,-0.047,0.653,0.146
-1002115873,-1982835790,0.885,-0.043,0.658,0.132
-1002099142,-1982819058,0.883,-0.053,0.653,0.111
-1002082176,-1982802091,0.881,-0.059,0.649,0.117
-1002066007,-1982785921,0.88,-0.054,0.652,0.13
-1002049229,-1982769142,0.881,-0.05,0.657,0.127
-1002032264,-1982752176,0.882,-0.042,0.655,0.131
-1002016043,-1982735955,0.884,-0.041,0.656,0.093
-1001999316,-1982719227,0.883,-0.045,0.655,0.094
-1001982341,-1982702251,0.876,-0.046,0.659,0.096
-1001966176,-1982686085,0.877,-0.047,0.653,0.098
-1001949404,-1982669312,0.881,-0.053,0.665,0.103
-1001932424,-1982652331,0.879,-0.056,0.672,0.117
-1001916212,-1982636119,0.88,-0.053,0.671,0.123
-1001899490,-1982619396,0.881,-0.044,0.671,0.11
-1001882506,-1982602411,0.881,-0.046,0.666,0.127
-1001866346,-1982586250,0.881,-0.046,0.664,0.136
-1001849578,-1982569481,0.885,-0.041,0.66,0.161
-1001832589,-1982552491,0.881,-0.042,0.654,0.169
-1001816382,-1982536284,0.885,-0.045,0.658,0.168
-1001799664,-1982519565,0.888,-0.037,0.666,0.165
-1001782671,-1982502571,0.948,0.127,0.749,0.371
-1001766515,-1982486414,0.95,0.278,0.783,0.488
-1001749752,-1982469650,0.892,0.479,0.768,0.61
-1001732749,-1982452647,0.895,0.506,0.772,0.628
-1001716551,-1982436448,0.899,0.494,0.773,0.656
-1001699839,-1982419735,0.888,0.491,0.759,0.623
-1001682827,-1982402722,0.884,0.481,0.766,0.617
-1001666685,-1982386579,0.883,0.479,0.768,0.615
-1001649926,-1982369819,0.887,0.483,0.765,0.616
-1001632914,-1982352807,0.885,0.482,0.761,0.624
-1001616721,-1982336613,0.883,0.472,0.754,0.639
-1001600013,-1982319904,0.884,0.473,0.752,0.595
-1001582997,-1982302887,0.877,0.474,0.762,0.6
-1001566855,-1982286744,0.879,0.49,0.769,0.658
-1001550101,-1982269989,0.878,0.475,0.766,0.613
-1001533079,-1982252967,0.883,0.483,0.763,0.621
-1001516891,-1982236778,0.881,0.487,0.763,0.628
-1001500187,-1982220073,NaN,NaN,NaN,NaN
-1001483037,-1982202922,NaN,NaN,NaN,NaN
-1001467024,-1982186908,NaN,NaN,NaN,NaN
-1001450178,-1982170061,NaN,NaN,NaN,NaN
