-1497453589,1816795806,NaN,NaN,NaN,NaN
-1497436574,1816812818,0.341,0.295,0.461,0.164
-1497420530,1816828860,0.336,0.293,0.449,0.157
-1497403661,1816845726,NaN,NaN,NaN,NaN
-1497386647,1816862738,0.319,0.302,0.434,0.158
-1497370603,1816878780,0.319,0.299,0.423,0.152
-1497353734,1816895646,NaN,NaN,NaN,NaN
-1497336719,1816912658,0.299,0.304,0.42,0.152
-1497320674,1816928700,0.3,0.305,0.419,0.144
-1497303805,1816945566,NaN,NaN,NaN,NaN
-1497286791,1816962578,0.305,0.308,0.413,0.141
-1497270746,1816978620,0.295,0.307,0.411,0.142
-1497253873,1816995490,NaN,NaN,NaN,NaN
-1497236863,1817012498,0.285,0.3,0.409,0.143
-1497220818,1817028540,0.283,0.315,0.406,0.15
-1497203945,1817045410,NaN,NaN,NaN,NaN
-1497186935,1817062418,0.279,0.309,0.397,0.142
-1497170890,1817078460,0.288,0.295,0.396,0.146
-1497154017,1817095330,NaN,NaN,NaN,NaN
-1497137007,1817112338,0.281,0.31,0.399,0.143
-1497120962,1817128380,0.286,0.304,0.399,0.138
-1497104090,1817145250,NaN,NaN,NaN,NaN
-1497087081,1817162258,0.286,0.313,0.392,0.14
-1497071037,1817178300,0.285,0.312,0.395,0.145
-1497054165,1817195170,NaN,NaN,NaN,NaN
-1497037156,1817212178,0.28,0.304,0.397,0.139
-1497021112,1817228220,0.284,0.305,0.398,0.142
-1497004240,1817245090,NaN,NaN,NaN,NaN
-1496987231,1817262098,0.296,0.392,0.427,0.246
-1496971187,1817278140,0.295,0.453,0.444,0.301
-1496954316,1817295010,NaN,NaN,NaN,NaN
-1496937306,1817312018,0.306,0.468,0.448,0.307
-1496921263,1817328060,0.308,0.465,0.441,0.312
-1496904388,1817344934,NaN,NaN,NaN,NaN
-1496887382,1817361938,0.301,0.475,0.447,0.315
-1496871339,1817377980,0.304,0.465,0.441,0.321
-1496854464,1817394854,NaN,NaN,NaN,NaN
-1496837458,1817411858,0.305,0.461,0.449,0.302
-1496821415,1817427900,0.301,0.473,0.453,0.304
-1496804540,1817444774,NaN,NaN,NaN,NaN
-1496787534,1817461778,0.3,0.464,0.443,0.315
-1496771491,1817477820,0.308,0.46,0.444,0.325
-1496754616,1817494694,NaN,NaN,NaN,NaN
-1496737610,1817511698,0.255,0.506,0.398,0.349
-1496721568,1817527740,0.156,0.538,0.254,0.374
-1496704692,1817544614,NaN,NaN,NaN,NaN
-1496687685,1817561618,0.143,0.536,0.24,0.357
-1496671641,1817577660,0.144,0.536,0.25,0.377
-1496654765,1817594534,NaN,NaN,NaN,NaN
-1496637759,1817611538,0.144,0.531,0.246,0.378
-1496621714,1817627580,0.14,0.538,0.245,0.372
-1496604838,1817644454,NaN,NaN,NaN,NaN
-1496587832,1817661458,0.142,0.533,0.249,0.375
-1496571787,1817677500,0.144,0.55,0.246,0.377
-1496554905,1817694380,NaN,NaN,NaN,NaN
-1496537905,1817711378,0.288,0.423,0.472,0.245
-1496521860,1817727420,0.484,0.185,0.602,0.128
-1496504978,1817744300,NaN,NaN,NaN,NaN
-1496487978,1817761298,0.518,0.12,0.592,0.151
-1496471933,1817777340,0.519,0.117,0.596,0.143
-1496455047,1817794224,NaN,NaN,NaN,NaN
-1496438051,1817811218,0.514,0.122,0.594,0.142
-1496422007,1817827260,0.514,0.128,0.606,0.143
-1496405115,1817844149,NaN,NaN,NaN,NaN
-1496388124,1817861138,0.517,0.132,0.6,0.143
